,id,segment_id,time_slot,visit_count
731,1157,41,13104129600000000,5
732,1158,48,13104129600000000,6
733,1159,56,13104129600000000,2
734,1161,46,13104129600000000,1
735,1162,128,13104129600000000,1
736,1163,213,13104129600000000,1
737,1164,119,13104129600000000,3
738,1165,293,13104129600000000,1
739,1166,1,13104129600000000,1
740,1167,261,13104129600000000,1
741,1168,56,13104216000000000,12
742,1170,121,13104216000000000,2
743,1171,1,13104216000000000,5
744,1172,213,13104216000000000,3
745,1173,135,13104216000000000,2
746,1174,5,13104216000000000,4
747,1175,128,13104216000000000,2
748,1177,48,13104216000000000,1
749,1178,295,13104216000000000,2
750,1180,161,13104216000000000,1
751,1181,41,13104216000000000,1
752,1182,146,13104302400000000,1
753,1183,121,13104302400000000,1
754,1187,5,13104302400000000,3
755,1188,56,13104302400000000,3
756,1192,213,13104302400000000,3
757,1195,135,13104302400000000,2
758,1196,48,13104388800000000,4
759,1197,213,13104388800000000,6
760,1198,128,13104388800000000,1
761,1199,135,13104388800000000,1
762,1200,5,13104388800000000,2
763,1204,29,13104388800000000,1
764,1205,303,13104388800000000,1
765,1206,41,13104388800000000,1
766,1207,295,13104475200000000,3
767,1208,1,13104475200000000,1
768,1209,48,13104475200000000,1
769,1210,56,13104475200000000,1
770,1212,5,13104475200000000,1
771,1213,46,13104475200000000,1
772,1214,113,13104475200000000,1
773,1215,1,13104561600000000,2
774,1216,295,13104561600000000,11
775,1217,56,13104561600000000,2
776,1218,248,13104561600000000,2
777,1219,46,13104561600000000,2
778,1220,213,13104561600000000,1
779,1221,48,13104561600000000,6
780,1222,41,13104561600000000,1
781,1223,261,13104561600000000,1
782,1225,48,13104648000000000,10
783,1227,29,13104648000000000,1
784,1228,46,13104648000000000,2
785,1229,41,13104648000000000,2
786,1231,261,13104648000000000,1
787,1232,46,13104734400000000,1
788,1233,29,13104734400000000,1
789,1234,1,13104820800000000,1
790,1235,295,13104820800000000,12
791,1236,213,13104820800000000,2
792,1237,5,13104820800000000,8
793,1238,56,13104820800000000,15
794,1239,48,13104820800000000,1
795,1240,87,13104820800000000,1
796,1241,15,13104820800000000,1
797,1242,135,13104820800000000,1
798,1243,46,13104820800000000,2
799,1244,29,13104820800000000,2
800,1245,45,13104820800000000,1
801,1247,305,13104820800000000,3
802,1249,50,13104820800000000,1
803,1250,261,13104820800000000,1
804,1251,41,13104820800000000,1
805,1252,213,13104907200000000,4
806,1253,48,13104907200000000,7
807,1254,1,13104907200000000,1
808,1255,46,13104907200000000,4
809,1256,56,13104907200000000,3
810,1257,5,13104907200000000,2
811,1258,257,13104907200000000,1
812,1259,29,13104907200000000,1
813,1260,295,13104907200000000,10
